agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,1/16/13,437
USGS,9058000,1/17/13,435
USGS,9058000,1/18/13,434
USGS,9058000,1/19/13,434
USGS,9058000,1/20/13,432
USGS,9058000,1/21/13,427
USGS,9058000,1/22/13,424
USGS,9058000,1/23/13,409
USGS,9058000,1/24/13,425
USGS,9058000,1/25/13,430
USGS,9058000,1/26/13,432
USGS,9058000,1/27/13,428
USGS,9058000,1/28/13,430
USGS,9058000,1/29/13,429
USGS,9058000,1/30/13,428
USGS,9058000,1/31/13,433
USGS,9058000,2/1/13,437
USGS,9058000,2/2/13,435
USGS,9058000,2/3/13,432
USGS,9058000,2/4/13,430
USGS,9058000,2/5/13,428
USGS,9058000,2/6/13,418
USGS,9058000,2/7/13,424
USGS,9058000,2/8/13,422
USGS,9058000,2/9/13,422
USGS,9058000,2/10/13,416
USGS,9058000,2/11/13,418
USGS,9058000,2/12/13,416
USGS,9058000,2/13/13,402
USGS,9058000,2/14/13,390
USGS,9058000,2/15/13,381
USGS,9058000,2/16/13,376
USGS,9058000,2/17/13,371
USGS,9058000,2/18/13,371
USGS,9058000,2/19/13,373
USGS,9058000,2/20/13,378
USGS,9058000,2/21/13,378
USGS,9058000,2/22/13,379
USGS,9058000,2/23/13,388
USGS,9058000,2/24/13,398
USGS,9058000,2/25/13,401
USGS,9058000,2/26/13,405
USGS,9058000,2/27/13,405
USGS,9058000,2/28/13,401
USGS,9058000,3/1/13,401
USGS,9058000,3/2/13,400
USGS,9058000,3/3/13,392
USGS,9058000,3/4/13,394
USGS,9058000,3/5/13,394
USGS,9058000,3/6/13,400
USGS,9058000,3/7/13,400
USGS,9058000,3/8/13,405
USGS,9058000,3/9/13,403
USGS,9058000,3/10/13,396
USGS,9058000,3/11/13,392
USGS,9058000,3/12/13,385
USGS,9058000,3/13/13,401
USGS,9058000,3/14/13,420
USGS,9058000,3/15/13,437
USGS,9058000,3/16/13,441
USGS,9058000,3/17/13,424
USGS,9058000,3/18/13,405
USGS,9058000,3/19/13,392
USGS,9058000,3/20/13,383
USGS,9058000,3/21/13,385
USGS,9058000,3/22/13,385
USGS,9058000,3/23/13,388
USGS,9058000,3/24/13,394
USGS,9058000,3/25/13,391
USGS,9058000,3/26/13,396
USGS,9058000,3/27/13,389
USGS,9058000,3/28/13,394
USGS,9058000,3/29/13,393
USGS,9058000,3/30/13,391
USGS,9058000,3/31/13,391
USGS,9058000,4/1/13,391
USGS,9058000,4/2/13,391
USGS,9058000,4/3/13,386
