ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
1601,"Whiting and Moog, 2001","Buffalo River C, ID",42.7,0.084,0.00126,0.005,34.3,0.55,6.69
1602,"Whiting and Moog, 2001","Buffalo River D, ID",25,0.1274,0.00284,0.005,24.8,0.37,1.95
1603,"Whiting and Moog, 2001","Deer Creek, OR",53.1,0.0858,0.031,0.081,3.94,0.37,0.46
1604,"Whiting and Moog, 2001","Elk Springs Creek, ID",0.28,0.3564,0.049,0.01,0.97,0.12,0.021
1605,"Whiting and Moog, 2001","Lucky Dog Creek B, ID",5.75,0.0492,0.00174,0.009,7.09,0.42,1.12
1606,"Whiting and Moog, 2001","Meadow Creek, ID",0.19,0.3564,0.0021,0.001,9.39,0.28,0.36
1607,"Whiting and Moog, 2001","Mill Creek, ID",1.88,0.3048,0.011,0.007,3.9,0.32,0.19
1608,"Whiting and Moog, 2001","Moose Creek, ID",39.7,0.0535,0.001,0.006,3.16,0.53,0.66
1609,"Whiting and Moog, 2001","Reservation Spring, OR",0.12,0.0368,0.0026,0.015,22,0.35,1.58
1610,"Whiting and Moog, 2001","Snow Creek A, OR",0.33,0.2834,0.0092,0.012,10.9,0.61,1.82
1611,"Whiting and Moog, 2001","Snow Creek B, OR",3.58,3.0909,0.01,0.001,11.2,0.51,1.08
1612,"Whiting and Moog, 2001","Spring Creek B, OR",33.8,0.0129,0.00011,0.005,48,0.97,6.77
1613,"Whiting and Moog, 2001","Toms Creek A, ID",0.94,0.202,0.006,0.0045,6.07,0.25,0.16
1614,"Whiting and Moog, 2001","Tyler Creek, ID",3.15,0.3647,0.0081,0.007,1.91,0.52,0.55
1615,"Wilkerson and Parker, 2011","ARIKAREE RIVER AT HAIGLER, NEBR.",,4.3636,0.002,0.00025,32,0.9,40
1616,"Williams et al., 2013","GREEN RIVER NEAR JENSEN, UT",76819.1,0.57,0.00048,0.0014,120,2.74,665
1617,"Williams, 1978; Li et al., 2015","San Francisco River near Reserve, New Mexico",906,7.2145,0.0064,0.0005,17.1,0.93,12
1618,"Williams, 1978","Blacks Fork near Little America, WY",8029,0.0479,0.0008,0.018,58,1.78,226
1619,"Williams, 1978","Coast Fork Williamette River at London, OR",186,0.0211,0.001,0.072,32,2.51,187
1620,"Williams, 1978","Cocolamus Creek near Millerstown, PA",147,0.0859,0.0029,0.035,29,1.71,45.3
1621,"Williams, 1978","Elk River at Clark, CO",533,0.0396,0.0073,0.115,31,1.03,23.8
1622,"Williams, 1978",Elk River near Prospect TN,4620,0.2061,0.0008,0.014,69,5.95,668
1623,"Williams, 1978","Embudo Creek at Dixon, NM",790,0.3085,0.0092,0.015,13,0.83,24.5
1624,"Williams, 1978","Fall Creek near Lowell, OR",305,0.0193,0.0026,0.066,27,0.81,10.5
1625,"Williams, 1978","GILA RIVER NEAR REDROCK, NEW MEXICO",7327,0.0064,0.00058,0.04,18.6,0.73,24.9
1626,"Williams, 1978","GREEN RIVER AT MUNFORDVILLE, KY",4636,0.172,0.00085,0.021,99.1,7.01,580.6
1627,"Williams, 1978","Huntington Creek near Huntington, UT",492,1.412,0.0135,0.0062,16,1.07,73.6
1628,"Williams, 1978","Jemez River near Jemez, NM",1217,0.2691,0.0074,0.015,15,0.9,12.6
1629,"Williams, 1978","Keystone Gulch near Dillon, CO",23,0.2168,0.0412,0.038,3,0.33,3
1630,"Williams, 1978","Luckiamute River near Hoskins, OR",88,0.0114,0.0013,0.045,17,0.65,5.5
1631,"Williams, 1978","MUDDY CREEK NEAR SHOSHONI, WY",859,0.5631,0.0039,0.0034,8.2,0.81,13.2
1632,"Williams, 1978","Nestucca River near Beaver, OR",466,0.0034,0.00021,0.045,39.6,1.21,70.8
1633,"Williams, 1978","PATTERSON CREEK NEAR HEADSVILLE, WV",567,0.0912,0.0007,0.012,42.1,2.58,91.8
1634,"Williams, 1978",Pine Creek near Escalante UT,202,0.0399,0.0184,0.165,4,0.59,1.7
1635,"Williams, 1978","Rio Chiquito near Talpa, NM",95,0.1963,0.0237,0.03,4,0.41,6.2
1636,"Williams, 1978","Rio Fernando de Taos near Taos, NM",186,0.0614,0.0154,0.076,3,0.5,4.5
1637,"Williams, 1978","Rio Grande del Rancho near Talpa, NM",215,0.026,0.0066,0.06,7,0.39,5
1638,"Williams, 1978","Rock Creek near Dillion, CO",41,0.0924,0.0416,0.12,7,0.44,7.5
1639,"Williams, 1978","Rock Creek near Toponas, CO",124,0.0482,0.0037,0.027,10,0.58,5.7
1640,"Williams, 1978","Row River above Pitcher Creek near  Dorena, OR",546,0.0049,0.00054,0.072,34.1,1.08,11.3
1641,"Williams, 1978","SAN FRANCISCO R. NR. GLENWOOD, N.M.",4281,0.0381,0.004,0.035,16.5,0.55,22.2
1642,"Williams, 1978","Sout Fork Cache la Poudre River nr Rustic, CO",233,0.0126,0.0048,0.15,13,0.65,17.6
1643,"Williams, 1978","South Chickamauga Creek, GA",644,0.359,0.0025,0.013,33,3.08,69.4
1644,"Williams, 1978","SWEETWATER RIVER NEAR ALCOVA, WY",6034,0.6933,0.0008,0.001,29,1.43,79.3
1645,"Williams, 1978","Thomas Creek near Scio, OR",282,0.0269,0.003,0.048,25,0.71,8.2
1646,"Williams, 1978","TOMICHI CREEK AT GUNNISON, CO",2748,0.0364,0.0036,0.042,23.5,0.7,27.5
1647,"Williams, 1978","Tonto Creek near Roosevelt, AZ",1748,0.0335,0.0012,0.02,,0.92,109.3
1648,"Williams, 1978",Towanda Creek near Monroeton PA.,556,0.1363,0.0042,0.045,47,2.41,368
1649,"Williams, 1978","Tygart River nr Daily, WV",484,0.2097,0.001,0.005,32,1.73,116
1650,"Williams, 1978","White River near Soldier Summit, UT",194,0.3928,0.0025,0.0027,13.7,0.7,12.2
1651,"Williams, 1978","Winberry Creek near Lowell, OR",114,0.028,0.0042,0.06,13,0.66,10.9
1652,"Wolman, 1955",East Branch Brandywine Creek at Cornog,,0.02,0.0037,0.083,17,0.74,24
1653,"Wolman, 1955",East Branch Brandywine Creek at Seven Springs,,0.0342,0.0028,0.064,20,1.29,40
1654,"Wolman, 1955",East Branch Brandywine Creek at South Downington,,0.0049,0.00066,0.104,18,1.27,45
1655,"Wolman, 1955",West Branch Brandywine Creek at Embreeville,,0.0304,0.00069,0.022,27,1.6,66
1656,"Wolman, 1955",West Branch Brandywine Creek at Wanaset,,0.0115,0.00062,0.049,23,1.5,68
